BAI	BAI
BAM	BAM
BCR Auxiliary XML	XML
BCR Biotab	TSV
BCR OMF XML	XML
BCR PPS XML	XML
BCR SSF XML	XML
BCR XML	XML
BEDPE	BEDPE Format
CDC JSON	JSON
CEL	CEL
CRAI	CRAI
CRAM	CRAM
FASTQ	FASTQ
HDF5	HDF5
HTML	HTML
IDAT	IDAT
JSON	JSON
MAF	MAF
OME-TIFF	OME-TIFF
PDF	PDF
SVS	SVS
TSV	TSV
TXT	TXT
VCF	VCF
XLSX	XLSX
bai	BAI
bam	BAM
csv	CSV
docx	DOCX
fasta	FASTA
fastq	FASTQ
gzip	GZIP Format
hdf5	HDF5
html	HTML
mzIdentML	mzIdentML
mzML	mzML
pdf	PDF
svs	SVS
tsv	TSV
txt	TXT
xls	XLS
xlsx	XLSX
zip	ZIP
